DopingConcentration(C1(n1314_msh)) X,DopingConcentration(C1(n1314_msh)) Y,DopingConcentration(C1(n1349_msh)) X,DopingConcentration(C1(n1349_msh)) Y,DopingConcentration(C1(n1384_msh)) X,DopingConcentration(C1(n1384_msh)) Y,DopingConcentration(C2(n1207_msh_4)) X,DopingConcentration(C2(n1207_msh_4)) Y,DopingConcentration(C2(n1242_msh_4)) X,DopingConcentration(C2(n1242_msh_4)) Y,DopingConcentration(C2(n1277_msh_4)) X,DopingConcentration(C2(n1277_msh_4)) Y,GR = 0.03 ; AB = 0.32 X,GR = 0.03 ; AB = 0.32 Y,GR = 0.03 ; AB = 0.62 X,GR = 0.03 ; AB = 0.62 Y,GR = 0.07 ; AB = 0.32 X,GR = 0.07 ; AB = 0.32 Y,GR = 0.07 ; AB = 0.62 X,GR = 0.07 ; AB = 0.62 Y,GR = 0.1 ; AB = 0.32 X,GR = 0.1 ; AB = 0.32 Y,GR = 0.1 ; AB = 0.62 X,GR = 0.1 ; AB = 0.62 Y
-6.0006843,-5.2496228e+18,-6.0006843,-5.2496228e+18,-6.0006843,-5.2496228e+18,-6.0041885,-5.2587379e+18,-6.0041885,-5.2587359e+18,-6.0041885,-5.2587359e+18,-5.1376061,-2.6583447e+18,-5.9963222,-5.238086e+18,-5.1376061,-2.6583447e+18,-5.9963222,-5.238086e+18,-5.1376061,-2.6583447e+18,-5.9963222,-5.238086e+18
-5.9773245,-5.188693e+18,-5.9773245,-5.188693e+18,-5.9773245,-5.188693e+18,-5.9773245,-5.1886678e+18,-5.9773245,-5.1886656e+18,-5.9773245,-5.1886656e+18,-4.997653,-2.2128646e+18,-5.9773245,-5.1885338e+18,-4.997653,-2.2128646e+18,-5.9773245,-5.1885338e+18,-4.997653,-2.2128646e+18,-5.9773245,-5.1885338e+18
-5.8607311,-4.864271e+18,-5.8607311,-4.864271e+18,-5.8607311,-4.864271e+18,-5.8642354,-4.8739945e+18,-5.8642354,-4.8739921e+18,-5.8642354,-4.8739921e+18,-4.8576999,-1.7658374e+18,-5.856369,-4.8519641e+18,-4.8576999,-1.7658374e+18,-5.856369,-4.8519641e+18,-4.8576999,-1.7658374e+18,-5.856369,-4.8519641e+18
-5.8373713,-4.7992726e+18,-5.8373713,-4.7992726e+18,-5.8373713,-4.7992726e+18,-5.8373713,-4.7992454e+18,-5.8373713,-4.7992429e+18,-5.8373713,-4.7992429e+18,-4.7177472,-1.3182194e+18,-5.8373713,-4.7991032e+18,-4.7177472,-1.3182194e+18,-5.8373713,-4.7991032e+18,-4.7177472,-1.3182194e+18,-5.8373713,-4.7991032e+18
-5.720778,-4.4595514e+18,-5.720778,-4.4595514e+18,-5.720778,-4.4595514e+18,-5.7242823,-4.4697332e+18,-5.7242823,-4.4697307e+18,-5.7242823,-4.4697307e+18,-4.5777941,-8.7061328e+17,-5.7164159,-4.4466658e+18,-4.5777941,-8.7061328e+17,-5.7164159,-4.4466658e+18,-4.5777941,-8.7061328e+17,-5.7164159,-4.4466658e+18
-5.6974182,-4.3914878e+18,-5.6974182,-4.3914878e+18,-5.6974182,-4.3914878e+18,-5.6974182,-4.391459e+18,-5.6974182,-4.3914565e+18,-5.6974182,-4.3914565e+18,-4.4378409,-4.2334718e+17,-5.6974182,-4.3913121e+18,-4.4378409,-4.2334718e+17,-5.6974182,-4.3913121e+18,-4.4378409,-4.2334718e+17,-5.6974182,-4.3913121e+18
-5.5808253,-4.0404628e+18,-5.5808253,-4.0404628e+18,-5.5808253,-4.0404628e+18,-5.5843296,-4.0509837e+18,-5.5843296,-4.0509813e+18,-5.5843296,-4.0509813e+18,-4.2978878,4.5615555e+15,-5.5764627,-4.0271529e+18,-4.2978878,4.5615555e+15,-5.5764627,-4.0271529e+18,-4.2978878,4.5615555e+15,-5.5764627,-4.0271529e+18
-5.5574656,-3.9701344e+18,-5.5574656,-3.9701344e+18,-5.5574656,-3.9701344e+18,-5.5574656,-3.970105e+18,-5.5574656,-3.9701027e+18,-5.5574656,-3.9701027e+18,-4.2279115,9.9005352e+15,-5.5574656,-3.9699576e+18,-4.2279115,9.9005352e+15,-5.5574656,-3.9699576e+18,-4.2279115,9.9005352e+15,-5.5574656,-3.9699576e+18
-5.4408722,-3.6109458e+18,-5.4408722,-3.6109458e+18,-5.4408722,-3.6109458e+18,-5.4443765,-3.6217124e+18,-5.4443765,-3.6217103e+18,-5.4443765,-3.6217103e+18,-4.1579347,9.9009949e+15,-5.4365101,-3.5973348e+18,-4.1579347,9.9009949e+15,-5.4365101,-3.5973348e+18,-4.1579347,9.9009949e+15,-5.4365101,-3.5973348e+18
-5.4175124,-3.5389817e+18,-5.4175124,-3.5389817e+18,-5.4175124,-3.5389817e+18,-5.4175124,-3.5389527e+18,-5.4175124,-3.5389507e+18,-5.4175124,-3.5389507e+18,-4.0879583,9.900995e+15,-5.4175124,-3.5388095e+18,-4.0879583,9.900995e+15,-5.4175124,-3.5388095e+18,-4.0879583,9.900995e+15,-5.4175124,-3.5388095e+18
-5.3009191,-3.174073e+18,-5.3009191,-3.174073e+18,-5.3009191,-3.174073e+18,-5.3044233,-3.185013e+18,-5.3044233,-3.1850113e+18,-5.3044233,-3.1850113e+18,-4.0179815,9.9009951e+15,-5.2965569,-3.1602583e+18,-4.0179815,9.9009951e+15,-5.2965569,-3.1602583e+18,-4.0179815,9.9009951e+15,-5.2965569,-3.1602583e+18
-5.2775593,-3.1009629e+18,-5.2775593,-3.1009629e+18,-5.2775593,-3.1009629e+18,-5.2775593,-3.1009354e+18,-5.2775593,-3.1009337e+18,-5.2775593,-3.1009337e+18,-3.9480052,9.9009952e+15,-5.2775593,-3.1008011e+18,-3.9480052,9.9009952e+15,-5.2775593,-3.1008011e+18,-3.9480052,9.9009952e+15,-5.2775593,-3.1008011e+18
-5.1609659,-2.7322224e+18,-5.1609659,-2.7322224e+18,-5.1609659,-2.7322224e+18,-5.1644702,-2.74328e+18,-5.1644702,-2.7432787e+18,-5.1644702,-2.7432787e+18,-3.8780286,9.9009954e+15,-5.1566038,-2.7182799e+18,-3.8780286,9.9009954e+15,-5.1566038,-2.7182799e+18,-3.8780286,9.9009954e+15,-5.1566038,-2.7182799e+18
-5.1376061,-2.6583445e+18,-5.1376061,-2.6583445e+18,-5.1376061,-2.6583445e+18,-5.1376061,-2.6583195e+18,-5.1376061,-2.6583183e+18,-5.1376061,-2.6583183e+18,-3.8430405,9.9009954e+15,-5.1376061,-2.6581986e+18,-3.8430405,9.9009954e+15,-5.1376061,-2.6581986e+18,-3.8430405,9.9009954e+15,-5.1376061,-2.6581986e+18
-5.0210128,-2.2872203e+18,-5.0210128,-2.2872203e+18,-5.0210128,-2.2872203e+18,-5.0245171,-2.2983529e+18,-5.0245171,-2.298352e+18,-5.0245171,-2.298352e+18,-3.8080521,9.9009955e+15,-5.0166507,-2.2732086e+18,-3.8080521,9.9009955e+15,-5.0166507,-2.2732086e+18,-3.8080521,9.9009955e+15,-5.0166507,-2.2732086e+18
-4.997653,-2.2128647e+18,-4.997653,-2.2128647e+18,-4.997653,-2.2128647e+18,-4.997653,-2.2128431e+18,-4.997653,-2.2128424e+18,-4.997653,-2.2128424e+18,-3.7730639,9.9009955e+15,-4.997653,-2.212739e+18,-3.7730639,9.9009955e+15,-4.997653,-2.212739e+18,-3.7730639,9.9009955e+15,-4.997653,-2.212739e+18
-4.8810596,-1.840452e+18,-4.8810596,-1.840452e+18,-4.8810596,-1.840452e+18,-4.8845639,-1.8516269e+18,-4.8845639,-1.8516268e+18,-4.8845639,-1.8516268e+18,-3.7380755,9.9009956e+15,-4.8766975,-1.8264148e+18,-3.7380755,9.9009956e+15,-4.8766975,-1.8264148e+18,-3.7380755,9.9009956e+15,-4.8766975,-1.8264148e+18
-4.8576999,-1.7658383e+18,-4.8576999,-1.7658383e+18,-4.8576999,-1.7658383e+18,-4.8576999,-1.7658202e+18,-4.8576999,-1.7658203e+18,-4.8576999,-1.7658203e+18,-3.7030873,1.7391065e+16,-4.8576999,-1.7657353e+18,-3.7030873,1.7391065e+16,-4.8576999,-1.7657353e+18,-3.7030873,1.7391065e+16,-4.8576999,-1.7657353e+18
