[2] V: 84.95  Mn: 1.079  Mp: 1.032  (245.6s)
[3] V: 82.59  Mn: 0.846  Mp: 0.928  (278.6s)
[4] V: 83.81  Mn: 0.958  Mp: 0.981  (313.9s)
[5] V: 84.16  Mn: 0.993  Mp: 0.997  (350.0s)
[1] V: 81.67  Mn: 0.668  Mp: 0.817  (54.95s)
[2] V: 86.41  Mn: 1.025  Mp: 1.011  (110.2s)
[3] V: 84.03  Mn: 0.823  Mp: 0.912  (165.2s)
[4] V: 85.15  Mn: 0.911  Mp: 0.958  (221.3s)
[5] V: 85.57  Mn: 0.947  Mp: 0.976  (276.4s)
[6] V: 85.99  Mn: 0.985  Mp: 0.993  (332.6s)
[1] V: 83.27  Mn: 0.691  Mp: 0.818  (53.58s)
[2] V: 88.19  Mn: 0.995  Mp: 0.998  (104.8s)
[1] V: 84.16  Mn: 0.707  Mp: 0.818  (39.20s)
[2] V: 89.23  Mn: 0.973  Mp: 0.985  (78.41s)
[3] V: 94.23  Mn: 1.371  Mp: 1.158  (118.9s)
[4] V: 91.79  Mn: 1.155  Mp: 1.074  (159.3s)
[5] V: 90.88  Mn: 1.086  Mp: 1.042  (200.6s)
[6] V: 89.98  Mn: 1.022  Mp: 1.011  (240.3s)
[1] V: 84.05  Mn: 0.718  Mp: 0.815  (51.80s)
[2] V: 89.23  Mn: 0.949  Mp: 0.971  (104.6s)
[3] V: 94.02  Mn: 1.246  Mp: 1.122  (166.2s)
[4] V: 91.84  Mn: 1.099  Mp: 1.053  (226.7s)
[5] V: 90.92  Mn: 1.043  Mp: 1.024  (282.3s)
[6] V: 89.99  Mn: 0.990  Mp: 0.995  (344.4s)
[1] V: 84.57  Mn: 0.761  Mp: 0.841  (57.30s)
[2] V: 89.81  Mn: 0.984  Mp: 0.990  (115.6s)
[1] V: 84.52  Mn: 0.759  Mp: 0.840  (61.73s)
[2] V: 89.77  Mn: 0.982  Mp: 0.989  (126.5s)
[1] V: 59.94  Mn: 1.272  Mp: 1.182  (26.84s)
[2] V: 55.95  Mn: 1.020  Mp: 1.014  (69.78s)
[1] V: -177556.15  Mn: 0.000  Mp: nan  (59.73s)
[2] V: -177752.34  Mn: 0.000  Mp: nan  (121.2s)
[3] V: -177752.34  Mn: 0.000  Mp: nan  (181.7s)
[4] V: -177752.34  Mn: 0.000  Mp: nan  (240.9s)
[5] V: -177752.34  Mn: 0.000  Mp: nan  (300.2s)
[6] V: -177946.11  Mn: 0.000  Mp: nan  (364.8s)
[7] V: -177946.11  Mn: 0.000  Mp: nan  (446.3s)
[8] V: -177946.11  Mn: 0.000  Mp: nan  (546.4s)
[1] V: 59.87  Mn: 1.267  Mp: 1.179  (100.8s)
[2] V: 55.88  Mn: 1.016  Mp: 1.011  (172.5s)
[1] V: 59.87  Mn: 1.267  Mp: 1.179  (72.20s)
[2] V: 55.88  Mn: 1.016  Mp: 1.011  (148.4s)
[1] V: 55.91  Mn: 0.996  Mp: 0.997  (45.21s)
[1] V: 65.79  Mn: 0.731  Mp: 0.821  (68.19s)
[2] V: 69.81  Mn: 0.954  Mp: 0.972  (128.0s)
[3] V: 74.01  Mn: 1.256  Mp: 1.136  (190.8s)
[4] V: 71.85  Mn: 1.090  Mp: 1.052  (251.9s)
[5] V: 71.21  Mn: 1.046  Mp: 1.027  (312.6s)
[6] V: 70.51  Mn: 0.999  Mp: 0.999  (373.4s)
[1] V: 62.45  Mn: 0.722  Mp: 0.808  (54.97s)
[2] V: 66.11  Mn: 0.911  Mp: 0.943  (111.4s)
[3] V: 70.36  Mn: 1.181  Mp: 1.107  (170.1s)
[4] V: 68.21  Mn: 1.037  Mp: 1.023  (227.3s)
[5] V: 67.78  Mn: 1.010  Mp: 1.007  (287.0s)
[1] V: 42.31  Mn: 0.995  Mp: 0.997  (33.60s)
[1] V: 54.25  Mn: 0.794  Mp: 0.856  (60.02s)
[2] V: 58.23  Mn: 1.032  Mp: 1.021  (131.1s)
[3] V: 56.21  Mn: 0.906  Mp: 0.936  (194.6s)
[4] V: 57.22  Mn: 0.967  Mp: 0.978  (251.1s)
[5] V: 57.22  Mn: 0.967  Mp: 0.978  (315.7s)
[6] V: 57.72  Mn: 0.999  Mp: 0.999  (381.9s)
[1] V: 54.22  Mn: 0.798  Mp: 0.859  (35.37s)
[2] V: 58.28  Mn: 1.041  Mp: 1.028  (77.46s)
[3] V: 56.19  Mn: 0.911  Mp: 0.939  (116.5s)
[4] V: 57.26  Mn: 0.976  Mp: 0.984  (164.1s)
[1] V: 41.25  Mn: 2.104  Mp: 1.673  (38.78s)
[2] V: 39.77  Mn: 1.809  Mp: 1.503  (77.38s)
[3] V: 37.99  Mn: 1.464  Mp: 1.297  (113.1s)
[4] V: 36.42  Mn: 1.171  Mp: 1.114  (152.1s)
[5] V: 35.36  Mn: 0.984  Mp: 0.989  (188.1s)
[1] V: 35.37  Mn: 1.069  Mp: 1.046  (19.69s)
[2] V: 34.15  Mn: 0.849  Mp: 0.894  (39.51s)
[3] V: 34.68  Mn: 0.942  Mp: 0.960  (59.14s)
[4] V: 34.96  Mn: 0.991  Mp: 0.994  (78.79s)
[1] V: 49.92  Mn: 0.507  Mp: 0.627  (55.75s)
[2] V: 52.89  Mn: 0.631  Mp: 0.730  (112.8s)
[3] V: 56.28  Mn: 0.795  Mp: 0.856  (176.0s)
[4] V: 59.86  Mn: 0.993  Mp: 0.995  (236.5s)
[1] V: 43.72  Mn: 0.910  Mp: 0.938  (38.57s)
[2] V: 46.33  Mn: 1.127  Mp: 1.085  (74.52s)
[3] V: 44.89  Mn: 1.004  Mp: 1.003  (102.7s)
[1] V: 0.00  Mn: nan  Mp: nan  (28.12s)
[1] V: 0.00  Mn: nan  Mp: nan  (26.10s)
[1] V: 55.98  Mn: 0.780  Mp: 0.845  (56.54s)
[2] V: 59.22  Mn: 0.957  Mp: 0.971  (114.9s)
[3] V: 62.92  Mn: 1.188  Mp: 1.122  (175.5s)
[4] V: 61.05  Mn: 1.067  Mp: 1.044  (234.4s)
[5] V: 60.44  Mn: 1.029  Mp: 1.020  (294.2s)
[6] V: 59.83  Mn: 0.992  Mp: 0.995  (355.2s)
[1] V: 55.83  Mn: 2.094  Mp: 1.666  (47.35s)
[2] V: 52.37  Mn: 1.711  Mp: 1.445  (91.38s)
[3] V: 49.11  Mn: 1.382  Mp: 1.247  (133.4s)
[4] V: 46.08  Mn: 1.104  Mp: 1.070  (173.5s)
[5] V: 43.26  Mn: 0.873  Mp: 0.912  (213.0s)
[6] V: 44.64  Mn: 0.983  Mp: 0.989  (252.7s)
[1] V: 55.98  Mn: 0.780  Mp: 0.845  (57.34s)
[2] V: 59.22  Mn: 0.957  Mp: 0.971  (124.3s)
[3] V: 62.92  Mn: 1.188  Mp: 1.122  (188.9s)
[4] V: 61.05  Mn: 1.067  Mp: 1.044  (253.0s)
[5] V: 60.44  Mn: 1.029  Mp: 1.020  (315.4s)
[6] V: 59.83  Mn: 0.992  Mp: 0.995  (379.3s)
[1] V: 43.72  Mn: 0.910  Mp: 0.938  (34.35s)
[2] V: 46.33  Mn: 1.127  Mp: 1.085  (61.40s)
[3] V: 44.89  Mn: 1.004  Mp: 1.003  (88.32s)
